x,y,Cluster_ID
9.131854,3.8722498,3
9.131538,3.8448424,3
9.228147,3.8564656,3
8.520068,5.330687,3
8.447528,5.739179,8
8.4884405,5.8981204,8
8.687452,6.02687,8
8.700002,6.1732635,8
8.743581,6.43076,8
11.271699,7.525499,7
11.293817,7.5509996,0
11.30175,7.72572,0
11.424159,7.7697387,0
11.564406,7.880323,0
11.582736,7.926817,0
11.660975,8.065349,0
11.670143,8.134677,0
11.657937,8.189689,0
11.652796,8.326648,0
11.640541,8.437571,0
11.741505,8.402699,0
11.721855,8.311013,0
11.749838,8.3367605,0
8.21214,3.8667183,3
7.8587313,4.021818,3
7.8101406,4.0577693,3
7.7384453,4.068257,3
7.773504,4.121199,3
7.7300673,4.147116,3
7.909001,4.2009435,3
8.048941,4.273248,3
8.237843,4.152388,3
8.474445,3.9101954,3
8.765117,3.7170615,3
8.979271,3.6345809,3
9.158991,3.5843983,3
9.152255,3.577091,3
9.146291,3.5668948,3
9.169151,3.6764772,3
9.092636,3.855736,3
8.463749,5.4513745,3
8.241132,5.7813315,8
8.149984,5.9369416,8
8.072594,5.999218,8
7.91064,6.1180115,8
7.5794725,6.3292437,8
7.305108,6.5974083,8
7.2436643,6.7121863,8
7.1948757,6.8166866,8
7.2561755,6.9229236,8
8.644097,7.996928,7
10.858796,7.677746,0
10.747433,7.7652736,0
10.60241,7.7892523,0
9.454002,3.6427777,3
9.46562,3.564919,3
9.448242,3.5245945,3
9.408431,3.4723918,3
9.348564,3.5003054,3
9.182394,3.57131,3
8.175626,4.1077323,3
7.9293876,4.0695043,3
7.826363,4.0571375,3
7.7455854,4.0841336,3
7.891281,4.235585,3
8.194335,4.6040945,3
8.96893,4.575864,3
9.14615,4.2826834,3
9.196079,4.090826,3
9.239688,3.676421,3
9.389197,3.7054656,3
9.345745,3.5917397,3
9.379543,3.601078,3
9.198704,3.8435323,0
10.753608,8.530043,0
10.583671,8.573145,0
10.500583,8.605564,0
7.3599916,9.6442375,7
6.5259686,9.139276,7
6.0911503,8.841225,7
6.0209923,8.733638,1
6.087828,8.718013,1
8.514004,5.83345,3
9.21268,4.3740587,3
9.227691,4.25847,3
9.293795,4.2290134,3
8.7576475,3.5514495,3
8.445812,3.7105458,3
7.9548054,4.0130296,3
7.8776755,4.0392756,3
7.8380275,4.065501,3
7.820994,4.10284,3
8.104176,4.281617,3
8.406845,4.034188,3
8.639726,3.7505107,3
8.714542,3.661733,3
8.768146,3.612091,3
8.738508,3.6217985,3
8.553623,3.7288873,3
8.20375,4.0295525,3
8.188403,4.0707183,3
7.0340395,7.3833714,3
6.9296246,7.4991913,7
6.993546,7.5774837,7
9.235934,8.605628,7
9.403179,8.575598,7
9.54661,8.625054,7
9.646014,8.610747,7
9.524423,8.654441,7
9.525428,8.661633,7
7.6870375,10.062469,7
7.2409186,9.639876,7
7.00905,9.588606,7
6.9656706,7.5507603,7
7.0902,7.3019295,8
7.11899,7.289748,8
7.084105,7.2362404,8
7.207788,7.2799063,8
7.7291265,7.363721,7
8.000306,7.662697,7
8.150941,7.9130435,7
8.29075,8.213807,7
8.160513,8.0422325,7
7.9005995,7.8308334,8
7.9281673,7.805756,8
7.976162,7.7698956,8
9.637618,6.7508636,8
9.880863,6.7633047,8
9.870961,9.035944,7
10.052062,9.1360445,6
10.156418,9.294334,6
10.163044,9.373473,7
10.106256,9.403897,7
10.134305,9.469683,7
10.071181,9.418969,7
7.6509185,8.278894,7
7.5022774,8.040972,7
7.5694346,7.9328284,8
7.6956,7.799382,8
7.688592,7.877586,8
7.772592,7.890069,8
8.560235,7.195322,8
9.798533,9.056342,7
9.755809,9.203663,7
9.736429,9.300914,7
9.966571,9.3924265,7
10.156928,9.349176,7
10.163124,9.391652,7
10.206806,9.378545,7
10.117974,9.462886,7
10.041946,9.502871,7
7.750108,8.466143,7
7.569129,8.29674,7
7.5275955,8.195475,7
7.528675,8.141927,7
7.5834336,8.265244,7
7.715858,8.446224,7
8.138222,8.714832,7
8.186115,8.721079,7
8.276376,8.743878,7
8.35352,8.798884,7
8.627895,9.106718,7
8.750577,9.217364,7
8.953874,9.247232,7
9.432684,9.601043,7
9.415084,9.647034,7
9.586373,9.609765,7
9.789837,9.635901,7
9.839559,9.627236,7
7.3627486,8.474275,7
7.415634,8.113099,7
7.4199276,7.942155,7
7.4548993,7.8320446,8
7.413762,7.6285973,8
7.6517253,7.26839,8
7.7804313,7.1218734,7
9.664507,9.272099,7
9.632528,9.344638,7
