x,y,Cluster_ID
44.252415,30.442505,3
43.71641,30.579828,3
43.501152,30.465776,3
43.858185,29.69686,3
43.92625,28.88478,3
22.67141,11.784935,3
22.504953,7.869835,8
22.535732,6.3585625,8
22.512888,5.5782523,8
22.493687,4.749321,8
22.534023,4.2337065,8
42.581642,-19.919584,7
43.10766,-20.478727,0
43.73284,-21.402542,0
44.108776,-21.953562,0
44.772648,-24.11544,0
44.9758,-24.956299,0
44.960594,-25.59011,0
44.776352,-26.284529,0
44.455376,-26.953238,0
43.695114,-27.67166,0
43.17106,-28.795649,0
43.671967,-28.7735,0
44.49265,-28.285698,0
45.213367,-28.176388,0
29.090277,33.448742,3
20.066523,24.134037,3
21.48411,24.010319,3
22.601772,23.933437,3
23.654396,24.252073,3
25.00433,24.609247,3
26.444374,25.02334,3
27.536028,25.2087,3
28.657997,25.563269,3
29.798786,26.01871,3
32.876213,27.625511,3
39.222076,30.93451,3
39.7397,31.013859,3
40.02439,30.875647,3
40.56139,30.72186,3
41.89981,30.227465,3
35.22948,25.36436,3
18.616955,8.641293,3
18.374794,7.8814554,8
18.166481,7.336795,8
17.534142,5.9575205,8
16.853535,5.166809,8
16.436264,4.812869,8
13.892029,2.0859356,8
13.767563,1.5172675,8
13.772968,0.6606525,8
14.016778,0.022353973,8
30.1242,-15.805797,7
37.40623,-19.896145,0
37.44898,-20.32432,0
37.364246,-21.035273,0
42.685574,25.206192,3
42.372284,25.611654,3
41.90518,26.372995,3
41.33284,26.968336,3
40.63307,27.368706,3
35.874447,26.218136,3
20.794456,27.29156,3
20.446205,25.46335,3
20.554314,22.894455,3
21.074572,22.171486,3
20.847082,21.621843,3
26.457342,20.348093,3
33.974434,20.555634,3
46.24613,23.35109,3
45.824062,23.525917,3
44.165417,25.323513,3
44.062977,25.633997,3
44.082546,26.261316,3
44.622967,27.120686,3
45.24856,27.754143,0
27.996603,-31.107489,0
27.699644,-31.109167,0
27.107153,-31.008808,0
16.52041,-25.129805,7
-1.5710639,-13.618206,7
-1.8594894,-13.108295,7
-2.0634396,-12.340847,1
-1.5771986,-11.709901,1
21.737816,1.1411521,3
47.180954,22.933472,3
46.97177,22.512533,3
46.842434,22.095016,3
33.888977,30.54681,3
29.959692,32.39046,3
21.874428,25.955196,3
22.262905,25.279867,3
22.923222,24.77703,3
24.694881,23.166578,3
26.612,23.096493,3
29.92944,25.160892,3
32.538254,28.7059,3
32.989223,29.20952,3
33.347923,30.164131,3
32.678486,31.120552,3
32.272835,31.352674,3
23.384096,31.514942,3
23.324343,31.524824,3
6.787934,-4.5526953,3
6.8838277,-5.0266323,7
7.2093396,-5.418473,7
22.188156,-29.979443,7
22.123343,-30.510494,7
22.004854,-32.25903,7
22.034842,-32.90647,7
21.889776,-32.68618,7
21.683422,-31.892132,7
14.121038,-30.085592,7
12.253953,-23.747387,7
12.209791,-23.563324,7
12.261451,-23.08796,7
13.114523,-3.490811,8
12.583322,-3.2396014,8
12.570382,-3.0467694,8
12.46311,-3.8288214,8
19.026016,-18.833406,7
18.275944,-18.6373,7
18.095304,-18.483606,7
17.347746,-17.496778,7
16.773241,-16.043026,7
16.406666,-12.739501,8
16.2269,-12.105203,8
16.236979,-11.895518,8
32.834908,-7.9825997,8
32.63905,-8.446255,8
25.13288,-48.93161,7
25.539368,-47.679264,6
25.643427,-46.85816,6
25.889841,-45.658005,7
25.733353,-44.924137,7
28.088713,-40.875652,7
28.077168,-40.759468,7
13.073875,-16.971024,7
12.980007,-16.701752,7
10.459341,-12.324696,8
11.2559805,-11.874764,8
11.901464,-11.92478,8
13.089011,-11.657727,8
31.104029,-8.045113,8
22.866287,-50.58081,7
22.806786,-49.59234,7
22.935478,-48.28238,7
24.409758,-46.449734,7
27.472586,-45.298286,7
27.588669,-44.848595,7
27.830797,-43.94334,7
27.209042,-43.278694,7
26.016405,-42.641376,7
10.804275,-17.373583,7
8.59314,-14.794484,7
8.195298,-14.65179,7
7.3103676,-14.127611,7
6.9422398,-15.4499655,7
7.164724,-17.104118,7
1.0585662,-33.418427,7
1.1261848,-33.543747,7
-0.05851326,-34.76694,7
0.027620083,-35.427967,7
0.43657523,-37.795925,7
0.6167637,-38.65043,7
0.79935604,-39.166866,7
19.75214,-44.23402,7
